observed_on,user_name,url,latitude,longitude,private_latitude,private_longitude,place_county_name,place_state_name,scientific_name,common_name,taxon_order_name,taxon_suborder_name,taxon_family_name,taxon_genus_name,taxon_species_name,field:2x4 odonate survey unit,field:count,,,,
2024-07-17,,https://www.inaturalist.org/observations/229961727,35.95422306,-82.70637842,,,Madison,North Carolina,Aeshna umbrosa,Shadow Darner,Odonata,Anisoptera,Aeshnidae,Aeshna,Aeshna umbrosa,,1,,,,
2025-04-04,,https://www.inaturalist.org/observations/271144518,35.9451884,-82.87735443,,,Madison,North Carolina,Aeshna umbrosa,Shadow Darner,Odonata,Anisoptera,Aeshnidae,Aeshna,Aeshna umbrosa,,1,,,35.79204084,-82.53927634
2025-04-30,,https://www.inaturalist.org/observations/278517632,35.88068793,-82.83587962,,,Madison,North Carolina,Aeshna umbrosa,Shadow Darner,Odonata,Anisoptera,Aeshnidae,Aeshna,Aeshna umbrosa,24SCStairs04/30/25-1,3,,,35.79195484,-82.53954172
2024-09-17,,https://www.inaturalist.org/observations/242393560,35.57665921,-82.55755807,,,Buncombe,North Carolina,Anax junius,Common Green Darner,Odonata,Anisoptera,Aeshnidae,Anax,Anax junius,,1,,,35.79121605,-82.53875101
2025-02-05,,https://www.inaturalist.org/observations/260856842,35.7306289,-82.59528195,,,Buncombe,North Carolina,Argia fumipennis,Variable Dancer,Odonata,Zygoptera,Coenagrionidae,Argia,Argia fumipennis,24Flatcreek02/05/25-1,1,,,35.90855929,-82.76092624
2023-05-13,,https://www.inaturalist.org/observations/161516255,35.76160209,-82.98401855,,,Haywood,North Carolina,Arigomphus villosipes,Unicorn Clubtail,Odonata,Anisoptera,Gomphidae,Arigomphus,Arigomphus villosipes,,4,,,35.90820622,-82.7597103
2023-12-18,,https://www.inaturalist.org/observations/194680969,35.91979627,-82.85916529,,,Madison,North Carolina,Basiaeschna janata,Springtime Darner,Odonata,Anisoptera,Aeshnidae,Basiaeschna,Basiaeschna janata,,1,,,35.90818461,-82.75967878
2025-03-07,,https://www.inaturalist.org/observations/264439166,35.517247,-82.401988,,,Buncombe,North Carolina,Basiaeschna janata,Springtime Darner,Odonata,Anisoptera,Aeshnidae,Basiaeschna,Basiaeschna janata,24canecreek03/01/25,1,,,35.88978741,-82.82852709
2025-01-29,,https://www.inaturalist.org/observations/260111596,35.75468283,-82.54434538,35.79204084,-82.53927634,Madison,North Carolina,Boyeria grafiana,Ocellated Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria grafiana,24Ivyriver01/29/25-1,1,,,36.02550098,-82.32816416
2024-07-17,,https://www.inaturalist.org/observations/229961732,35.95425816,-82.7063908,,,Madison,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,,1,,,35.94740709,-82.89573305
2024-10-22,,https://www.inaturalist.org/observations/249242123,35.9556034,-82.70462409,,,Madison,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,,1,,,35.89476266,-82.82288104
2024-12-22,,https://www.inaturalist.org/observations/256042906,35.89485217,-82.82289736,,,Madison,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,,1,,,35.79128627,-82.53867791
2025-01-16,,https://www.inaturalist.org/observations/258701492,35.732885,-82.617339,,,Buncombe,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24Flatcreek01/16/25-1,4,,,35.94748021,-82.89549654
2025-01-28,,https://www.inaturalist.org/observations/259922850,35.72498861,-82.59981275,,,Buncombe,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24Flatcreek01/28/25-1,6,,,35.91762596,-82.85300954
2025-01-28,,https://www.inaturalist.org/observations/260102897,35.72409966,-82.60044679,,,Buncombe,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24Flatcreek01/28/25-2,2,,,35.91766392,-82.85303332
2025-01-29,,https://www.inaturalist.org/observations/260111597,35.79204084,-82.53927634,,,Madison,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24Ivyriver01/29/25-1,2,,,35.95429254,-82.70662518
2025-02-05,,https://www.inaturalist.org/observations/260856845,35.7306289,-82.59528195,,,Buncombe,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24Flatcreek02/05/25-1,5,,,35.72498861,-82.59981275
2025-03-12,,https://www.inaturalist.org/observations/265113160,35.94705577,-82.89586332,,,Greene,Tennessee,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24PC03/09/25-1,2,,,35.79218008,-82.5391476
2025-03-24,,https://www.inaturalist.org/observations/267606281,35.9553142,-82.70547295,,,Madison,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24LCC03/24/25-2,1,,,35.7306289,-82.59528195
2025-03-24,,https://www.inaturalist.org/observations/268161639,35.72276056,-82.60157447,,,Buncombe,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24Flatcreek03/24/25-1,4,,,35.73059891,-82.59537732
2025-04-09,,https://www.inaturalist.org/observations/271144517,35.84113257,-82.71375578,,,Madison,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,,2,,,35.73067399,-82.59537262
2025-06-11,,https://www.inaturalist.org/observations/290490228,35.95477281,-82.70599703,,,Madison,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24WD06/11/25-3,1,,,35.95510283,-82.70568325
2025-06-11,,https://www.inaturalist.org/observations/290490230,35.955346,-82.70522455,,,Madison,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24WD06/11/25-3,1,,,35.92884743,-82.88117601
2025-06-11,,https://www.inaturalist.org/observations/290490234,35.95572813,-82.70451645,,,Madison,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24WD06/11/25-3,1,,,35.924843,-82.86673075
2025-06-11,,https://www.inaturalist.org/observations/290490236,35.95498124,-82.7065201,,,Madison,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24WD06/11/25-3,1,,,35.91983472,-82.85916771
2025-06-15,,https://www.inaturalist.org/observations/289987408,35.9549098,-82.70581663,,,Madison,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24LCC06/06/25-1,2,,,35.91972261,-82.85918322
2025-07-13,,https://www.inaturalist.org/observations/297778514,35.90959205,-82.527941,,,Madison,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24WL07/11/25-2,1,,,35.91645355,-82.85154675
2025-07-17,,https://www.inaturalist.org/observations/298812489,35.50065526,-82.59987012,,,Buncombe,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24BC07/16/25-1,1,,,35.92374574,-82.85942818
2025-07-19,,https://www.inaturalist.org/observations/299368115,35.49496948,-82.61762699,,,Buncombe,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,10,1,,,35.923894,-82.85991342
2025-08-04,,https://www.inaturalist.org/observations/304361002,35.501837,-82.594048,,,Buncombe,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24BC08/04/25-1,1,,,35.94751121,-82.89523181
2025-08-04,,https://www.inaturalist.org/observations/304361376,35.501712,-82.594001,,,Buncombe,North Carolina,Boyeria vinosa,Fawn Darner,Odonata,Anisoptera,Aeshnidae,Boyeria,Boyeria vinosa,24BC08/04/25-2,1,,,35.94751247,-82.89517052
2024-07-17,,https://www.inaturalist.org/observations/229960322,35.95393079,-82.70733865,,,Madison,North Carolina,Calopteryx maculata,Ebony Jewelwing,Odonata,Zygoptera,Calopterygidae,Calopteryx,Calopteryx maculata,,1,,,35.94748875,-82.89514517
2025-01-16,,https://www.inaturalist.org/observations/258701500,35.733148,-82.617256,,,Buncombe,North Carolina,Calopteryx maculata,Ebony Jewelwing,Odonata,Zygoptera,Calopterygidae,Calopteryx,Calopteryx maculata,24Flatcreek01/16/25-1,4,,,35.9474888,-82.8951858
2025-01-28,,https://www.inaturalist.org/observations/259922856,35.72498861,-82.59981275,,,Buncombe,North Carolina,Calopteryx maculata,Ebony Jewelwing,Odonata,Zygoptera,Calopterygidae,Calopteryx,Calopteryx maculata,24Flatcreek01/28/25-1,3,,,35.94749837,-82.89524324
2025-01-29,,https://www.inaturalist.org/observations/260111599,35.79204084,-82.53927634,,,Madison,North Carolina,Calopteryx maculata,Ebony Jewelwing,Odonata,Zygoptera,Calopterygidae,Calopteryx,Calopteryx maculata,24Ivyriver01/29/25-1,1,,,35.94744126,-82.8956765
2025-01-29,,https://www.inaturalist.org/observations/260216062,35.79218008,-82.5391476,,,Madison,North Carolina,Calopteryx maculata,Ebony Jewelwing,Odonata,Zygoptera,Calopterygidae,Calopteryx,Calopteryx maculata,24Ivyriver01/29/25-2,4,,,35.94741785,-82.89562926
